"Replicate.Name","Precursor.Ion.Name","Precursor.Mz","Product.Mz","Retention.Time","Area","Background","Height"
"180212_Std_4uMhilicMix4_1","Acetoacetyl CoA",850.3228,766.3569,5.22,2516063,35859,839328
"180212_Std_4uMhilicMix4_2","Acetoacetyl CoA",850.3228,766.3569,5.24,3573113,22243,1083738
"180212_Blk_MQBlk_1","Acetoacetyl CoA",850.3228,766.3569,5.24,1389,4,468
"180212_Blk_MQBlk_2","Acetoacetyl CoA",850.3228,766.3569,5.2,105,4,83
"180212_Blk_MQBlk_3","Acetoacetyl CoA",850.3228,766.3569,5.18,966,0,778
"180212_Blk_SWBlk_1","Acetoacetyl CoA",850.3228,766.3569,5.16,75,0,19
"180212_Blk_SWBlk_2","Acetoacetyl CoA",850.3228,766.3569,5.24,595,19,224
"180212_Blk_SWBlk_3","Acetoacetyl CoA",850.3228,766.3569,5.29,1214,132,1032
"180212_Poo_TruePoo_Full1","Acetoacetyl CoA",850.3228,766.3569,5.14,1738,0,1668
"180212_Poo_TruePoo_Full2","Acetoacetyl CoA",850.3228,766.3569,5.24,398,17,348
"180212_Poo_TruePoo_Full3","Acetoacetyl CoA",850.3228,766.3569,5.25,1743,172,1168
"180212_Poo_TruePoo_Half1","Acetoacetyl CoA",850.3228,766.3569,5.27,421,20,216
"180212_Poo_TruePoo_Half2","Acetoacetyl CoA",850.3228,766.3569,5.19,79,6,75
"180212_Poo_TruePoo_Half3","Acetoacetyl CoA",850.3228,766.3569,5.18,1231,4,564
"180212_Smp_L1C32DCMless10m_A","Acetoacetyl CoA",850.3228,766.3569,5.3,943,13,406
"180212_Smp_L1C32DCMless10m_B","Acetoacetyl CoA",850.3228,766.3569,5.12,418,72,181
"180212_Smp_L1C32DCMless10m_C","Acetoacetyl CoA",850.3228,766.3569,5.22,351,3,131
"180212_Smp_L1C32DCMless20m_A","Acetoacetyl CoA",850.3228,766.3569,5.34,190,58,148
"180212_Smp_L1C32DCMless20m_B","Acetoacetyl CoA",850.3228,766.3569,5.18,118,0,92
"180212_Smp_L1C32DCMless20m_C","Acetoacetyl CoA",850.3228,766.3569,5.21,32,0,16
"180212_Smp_L1C33DCM_A","Acetoacetyl CoA",850.3228,766.3569,5.26,384,85,281
"180212_Smp_L1C33DCM_B","Acetoacetyl CoA",850.3228,766.3569,5.21,212,3,146
"180212_Smp_L1C33DCM_C","Acetoacetyl CoA",850.3228,766.3569,5.24,16,23,12
